text,actual,predicted,subtype,correct
I feel gloomy and keep expecting small problems to grow.,mixed_depression_primary,mixed_depression_primary,pessimistic_anxiety,True
"There are moments when I feel both sad and anxious, and I can’t tell if it’s stress or just a temporary low mood",mixed_depression_primary,mixed_balanced,pessimistic_anxiety,False
"I don't feel excited about hobbies recently, even though I still do them",depression_primary,depression_primary,emotional_flatness,True
I feel emotionally balanced between stress and low mood,mixed_balanced,mixed_balanced,stress_and_low_mood_equal,True
I don’t get the same enjoyment out of things anymore. It makes me wonder a bit,depression_primary,depression_primary,loss_of_interest,True
"My mood feels evenly split between stress and low mood, leaving me unsure how to describe it",mixed_balanced,mixed_balanced,stress_and_low_mood_equal,True
I keep going over conversations in my head and second guessing them. It feels unnecessary but I can't stop,anxiety_primary,anxiety_primary,overthinking,True
My mood seems to swing subtly from calm to slightly low throughout the day and it leaves me uncertain about how I feel,mixed_balanced,mixed_balanced,fluctuating_mood,True
I notice I expect the worst even in small situations. It brings my mood down,mixed_depression_primary,mixed_anxiety_primary,pessimistic_anxiety,False
My worries gradually turn into sadness.,mixed_anxiety_primary,mixed_anxiety_primary,rumination_and_sadness,True
I asked a friend if they feel overwhelmed sometimes too,neutral,neutral,reassurance_seeking,True
I feel low while worrying about small issues.,mixed_depression_primary,mixed_depression_primary,sadness_with_worry,True
I’m asking myself if others also feel this stressed sometimes.,neutral,neutral,reassurance_seeking,True
I feel emotionally flat throughout the afternoon.,depression_primary,depression_primary,emotional_flatness,True
I feel anxious and end up feeling exhausted from it. It takes a toll,mixed_anxiety_primary,mixed_anxiety_primary,anxious_exhaustion,True
I had a standard day with manageable stress.,neutral,neutral,everyday_stress,True
I don’t feel much excitement when planning the weekend.,depression_primary,depression_primary,loss_of_interest,True
I feel emotionally flat during conversations,depression_primary,depression_primary,emotional_flatness,True
My energy feels low today and I can’t tell if it’s just fatigue or a reflection of my mood,neutral,mixed_balanced,reassurance_seeking,False
I feel uneasy and pessimistic about small plans.,mixed_depression_primary,mixed_depression_primary,pessimistic_anxiety,True
I've been thinking about my feelings more than usual. Not sure if it's anything serious,neutral,neutral,self_reflection,True
I feel a combination of stress and low mood together. It’s hard to separate them,mixed_balanced,mixed_balanced,stress_and_low_mood_equal,True
I feel sad and anxious about future possibilities,mixed_depression_primary,mixed_depression_primary,sadness_with_worry,True
I feel slightly worn out but still managing everything fine. It's probably normal,neutral,neutral,temporary_tiredness,True
I feel sad and worry at the same time,mixed_depression_primary,mixed_anxiety_primary,sadness_with_worry,False
I keep thinking about future outcomes that might never happen. It feels unnecessary,anxiety_primary,anxiety_primary,worry_future,True
"Some days I feel both anxious and down about minor things, and it’s hard to know which feeling to address first",mixed_depression_primary,mixed_anxiety_primary,pessimistic_anxiety,False
I'm not sure why I keep thinking about small things over and over. It makes it hard to relax,anxiety_primary,anxiety_primary,overthinking,True
