text,label,subtype
"I keep thinking about what might go wrong tomorrow even though nothing has happened yet.",anxiety_primary,worry_future
"Getting started feels harder than usual and I keep putting small tasks off.",depression_primary,low_motivation
"My day was busy but mostly normal, just a lot to keep track of.",neutral,everyday_stress
"I feel tired and worried at the same time, like my thoughts won’t slow down.",mixed_anxiety_primary,anxious_exhaustion
"I feel low but also keep imagining problems that haven’t happened.",mixed_depression_primary,sadness_with_worry
"My mood shifts during the day and I can’t quite explain why.",mixed_balanced,fluctuating_mood
"I replay conversations in my head wondering if I said something wrong.",anxiety_primary,overthinking
"I don’t feel excited about hobbies I usually enjoy lately.",depression_primary,loss_of_interest
"I’m just checking if it’s normal to feel this tired after a long week?",neutral,reassurance_seeking
"I feel worn out and keep circling the same sad thoughts.",mixed_anxiety_primary,rumination_and_sadness
"I feel drained and still worry about unfinished things.",mixed_depression_primary,low_energy_overthinking
"I feel pulled between stress and sadness equally today.",mixed_balanced,stress_and_low_mood_equal
"My shoulders stay tense even when I try to relax.",anxiety_primary,physical_tension
"It’s hard to care much about plans I used to look forward to.",depression_primary,emotional_flatness
"I’m reflecting on how I handled things today and what I learned.",neutral,self_reflection
"I worry a lot and it makes me feel emotionally heavy.",mixed_anxiety_primary,worry_with_low_mood
"I feel gloomy and keep expecting small problems to grow.",mixed_depression_primary,pessimistic_anxiety
"I can’t tell if I’m stressed or just emotionally mixed up.",mixed_balanced,emotional_confusion
"I keep wondering what the future will look like and it makes me uneasy.",anxiety_primary,worry_future
"I move slowly through tasks because motivation feels low.",depression_primary,low_motivation
"I’ve been tired from routine responsibilities, nothing unusual though.",neutral,temporary_tiredness
"My mind races but I also feel emotionally worn down.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad and keep double-checking things out of worry.",mixed_depression_primary,sadness_with_worry
"My emotions seem to swing without a clear reason.",mixed_balanced,fluctuating_mood
"I analyze small decisions for too long before acting.",anxiety_primary,overthinking
"I feel emotionally flat even when good things happen.",depression_primary,emotional_flatness
"I’m asking myself if others also feel this stressed sometimes.",neutral,reassurance_seeking
"I keep revisiting worries and they blend into sadness.",mixed_anxiety_primary,rumination_and_sadness
"My energy is low and my thoughts keep looping.",mixed_depression_primary,low_energy_overthinking
"I feel both stressed and down in equal measure.",mixed_balanced,stress_and_low_mood_equal
"My stomach tightens when I think about upcoming tasks.",anxiety_primary,physical_tension
"I struggle to start activities even simple ones.",depression_primary,low_motivation
"Today felt ordinary, just a bit mentally busy.",neutral,everyday_stress
"I feel worried but also emotionally tired from thinking too much.",mixed_anxiety_primary,worry_with_low_mood
"I expect things to go poorly even when there’s no clear reason.",mixed_depression_primary,pessimistic_anxiety
"I feel unsure how to label what I’m feeling lately.",mixed_balanced,emotional_confusion
